pca_x,pca_y,tsne_x,tsne_y,pca_tsne_x,pca_tsne_y,umap_x,umap_y,ivis_x,ivis_y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label,count
0.3203482,0.19138703,0.5455397,0.31650248,0.4117089,0.64982575,0.7778134,0.43166143,0.4999565,0.65052104,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,bows,1
0.22056583,0.42427292,0.2144242,0.7801447,0.22371975,0.24644458,0.07483661,0.49715996,0.8253531,0.25514036,0,1,0,1,3,0,0,7,0,4,8,4,12,12,9,our time,17
0.19096844,0.5477629,0.28199083,0.418543,0.18380511,0.57370317,0.57263523,0.15189278,0.3493228,0.18334481,0,1,2,1,3,4,4,5,4,0,9,0,0,0,7,television directors,1
0.50206745,0.79944074,0.42848676,0.7889662,0.51161563,0.18836212,0.34821504,0.62570137,0.6916949,0.23998871,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,the Republican Party,5
0.39423287,0.37606263,0.81025493,0.15489209,0.48427057,0.72696364,0.94404584,0.39833844,0.35549045,0.5401956,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,solar cars,1
0.69815016,0.30436242,0.8851231,0.676948,0.88737774,0.32054648,0.67713696,0.88825774,0.71055555,0.8533396,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,Torrington,1
0.35288358,0.40503356,0.56346816,0.5609437,0.59288186,0.65173376,0.30638105,0.46174854,0.6094661,0.57138276,0,1,0,1,2,3,3,1,6,8,1,5,5,5,5,the Kringle clan,1
0.29238302,0.66062635,0.5181591,0.6982709,0.37333053,0.25551853,0.45989245,0.5337303,0.61505365,0.086413026,0,1,2,2,0,5,5,2,3,9,6,9,9,9,12,legal argumentation,1
0.5202394,0.42751676,0.21969959,0.2539317,0.26876986,0.6766882,0.64958984,0.07079993,0.35178792,0.6619625,0,0,1,3,3,4,4,5,2,0,4,0,0,0,7,Irish theaterland,1
0.3373232,0.33657718,0.10333449,0.14454821,0.47242773,0.46586713,0.5400433,0.23682973,0.5150566,0.5215765,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,sleaze,1
0.16278563,0.35033557,0.34546447,0.23062018,0.11617127,0.7958311,0.76976496,0.24958977,0.16712582,0.42364433,0,1,0,1,3,4,4,5,4,7,9,7,7,7,14,early 80's art,1
0.32524484,0.52259505,0.04924175,0.429634,0.22154698,0.5975924,0.47437197,0.1065097,0.40231818,0.27152556,0,1,0,1,3,4,4,5,4,0,9,0,0,0,7,Soviet television,1
0.18248096,0.6263982,0.36739582,0.20851475,0.075671315,0.763475,0.78059894,0.2694298,0.13257542,0.30619955,0,1,2,1,3,4,4,5,4,7,9,7,7,7,14,the art museum director's world,2
0.28922743,0.70212525,0.33776304,0.8516693,0.23385525,0.16069707,0.20795089,0.6469413,0.6642112,0.2789654,0,1,2,1,3,0,0,7,0,4,8,4,12,12,1,the Vietnam era,1
0.38258976,0.3620805,0.4859912,0.5626083,0.38071802,0.41397262,0.5555883,0.48164594,0.5671916,0.402636,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,coins,3
0.36626768,0.5765101,0.44884974,0.9030955,0.4610393,0.08518258,0.26159447,0.6231654,0.86494005,0.25794733,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,recent campaigns,1
0.45364526,0.23982103,0.7807546,0.42608342,0.6077832,0.58550024,0.4819712,0.77136326,0.5196678,0.7414019,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,zweigelts,1
0.320457,0.41230425,0.09785691,0.2965665,0.33664894,0.8599764,0.76993173,0.122528605,0.43865702,0.4491982,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,gangster rap,1
0.17562567,0.40682325,0.20442373,0.28136274,0.32313645,0.6846672,0.62930816,0.07761599,0.5184691,0.3969444,0,1,0,1,3,4,4,5,4,0,9,0,0,0,7,a play,1
0.31109902,0.8522371,0.43215445,0.48963317,0.3090356,0.38448,0.6027239,0.4619321,0.36508027,0.114938945,0,1,2,2,0,5,6,3,1,5,3,11,11,11,3,the corporate world,1
0.20250271,0.5560402,0.2760311,0.55971414,0.24066243,0.4563552,0.61876947,0.3562142,0.25935054,0.14654377,0,1,2,1,2,3,6,3,1,9,3,9,9,9,12,computer science,2
0.45538628,0.57807606,0.57730263,0.93250626,0.6757977,0.0647189,0.3272788,0.8421976,0.5765011,0.5109218,0,1,2,1,0,5,5,2,6,9,1,9,9,9,1,ancient Judaism,2
0.39162132,0.40939596,0.29509565,0.7941183,0.27114925,0.2714776,0.04943329,0.45625204,0.86880696,0.409192,0,1,0,1,2,0,0,7,0,4,10,4,12,12,10,today,9
0.48813927,0.32695746,0.7221256,0.5493645,0.70506173,0.377926,0.71832925,0.72564745,0.4661891,0.6912751,0,0,1,3,3,4,4,4,2,3,4,3,3,3,4,the concert hall,1
0.32524484,0.6427293,0.5065046,0.70366216,0.360932,0.25489083,0.4545781,0.5440692,0.54088724,0.21764003,0,1,2,2,0,5,5,2,3,9,6,9,9,9,12,rabbinic law,1
0.76050055,0.4963087,0.64157414,0.8836211,0.7472419,0.10048279,0.36151367,0.87253714,0.48358032,0.87798053,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,Iran,8
0.7943417,0.48501116,0.68055046,0.8785523,0.7619657,0.116243005,0.38850874,0.8966688,0.35202962,0.8735516,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,Africa,3
0.3030468,0.4525727,0.48144296,0.35373455,0.37825987,0.58149636,0.7341694,0.39715654,0.2557157,0.32093355,0,1,0,1,2,3,6,1,1,7,10,8,7,7,10,clerical clothes,1
0.46659413,0.57997763,0.5929127,0.85508496,0.48745546,0.36162096,0.37540275,0.70384514,0.51967746,0.46852627,0,1,2,1,2,3,3,1,6,9,1,9,9,9,12,jihad,2
0.36822632,0.81319904,0.55598336,0.8145102,0.4599128,0.16887641,0.35956258,0.68796396,0.53019536,0.16155943,0,1,2,2,0,5,5,2,3,6,6,9,9,9,12,terrorist propaganda,1
0.939173,0.4649888,0.75716424,0.8944167,0.8611231,0.15116167,0.45398766,0.9571299,0.41244936,0.9673753,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,Germany,1
0.13645267,0.5701342,0.1527301,0.8235922,0.14673033,0.19309294,0.120573044,0.5852984,0.5422213,0.13167375,0,1,2,1,3,0,0,7,0,4,8,4,12,4,9,the next decade,1
0.24842219,0.5947427,0.3528063,0.7281053,0.36841175,0.0650706,0.3620271,0.5455953,0.62068963,0.33234587,0,1,2,1,3,5,5,2,3,9,1,9,9,9,1,the movement,4
0.30359086,0.23769575,0.08361304,0.13104862,0.48506302,0.89258647,0.7320642,0.0023294091,0.50188994,0.61923677,0,1,0,0,3,4,4,5,5,0,7,10,4,13,11,dance,9
0.30043525,0.6557047,0.30810288,0.8535918,0.40583262,0.5114218,0.6131856,0.53488934,0.32567692,0.29319435,0,1,2,1,3,3,3,1,4,9,1,9,9,9,1,British psychoanalysis,2
0.53862894,0.43143177,0.68016297,0.3388486,0.9023403,0.46948722,0.7893918,0.6229589,0.24551684,0.6718985,0,1,0,1,2,3,3,1,6,8,0,8,8,8,0,the soil,1
0.7947769,0.53400445,0.788979,0.9268962,0.8351884,0.17032444,0.44194704,0.97155374,0.44061947,0.88104,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,Kosovo,1
0.1352557,0.6021253,0.21883795,0.2668988,0.2679097,0.69338083,0.64893514,0.07237199,0.3436095,0.41330042,0,1,2,1,3,4,4,5,4,0,9,0,0,0,7,the theater world,1
0.26115343,0.3279642,0.055008233,0.27646482,0.32938087,0.8946771,0.8258218,0.14399807,0.43712962,0.5355724,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,rock bands,1
0.7415669,0.53993285,0.7297249,0.8224616,0.87482166,0.1454711,0.46840292,0.93309,0.41295204,0.84402525,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,continents,1
0.32698584,0.3155481,0.26145205,0.788528,0.25326914,0.25763452,0.051448584,0.46956292,0.82824355,0.41778764,0,1,0,1,2,0,3,1,6,8,10,8,8,12,9,his day,56
0.28106636,0.43143177,0.536607,0.42532954,0.4952788,0.5457008,0.578219,0.414954,0.5003045,0.34463233,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,this operation,1
0.8430903,0.5470917,0.7057127,0.9140458,0.8013723,0.14017636,0.43240947,0.9128828,0.28019294,0.85243636,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,China,17
0.7200217,0.44664428,0.6505481,0.8465724,0.98905796,0.23309553,0.4322042,0.88190067,0.5148536,0.9071475,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,Lahore,1
0.5236126,0.5199105,0.7925556,0.65183383,0.83786374,0.37457088,0.70428604,0.8277508,0.40379724,0.6314163,0,0,1,3,4,4,2,4,2,3,4,3,3,3,4,the Park Avenue Chinese,1
