x,y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
-27.551605,3.1009252,0,1,1,2,0,5,6,5,1,1,7,4,12,5,5,Scofflaws
-57.02215,-58.04475,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,her plastered generation
-13.491538,58.723938,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,downtown
39.328804,-54.145847,0,1,1,1,3,1,1,2,3,5,3,11,11,1,1,Korean radio
-14.749085,76.13105,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Bergen County
36.519855,28.011463,0,1,2,1,4,4,4,6,7,0,7,5,0,7,7,the BD
-8.988487,-59.00999,0,1,1,1,3,1,1,2,3,5,3,5,0,1,1,the show
-48.734097,75.20817,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Angkor
-6.8502088,-17.8566,0,1,1,2,0,5,4,5,7,0,7,6,12,5,5,people who have the virus that causes AIDS
14.021461,-50.666283,0,1,2,0,2,2,5,0,3,6,3,10,10,1,1,farm broadcasting
2.7954369,70.21902,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,the Hudson Valley
79.50944,30.944355,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,football
43.76993,-26.442348,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,flour
-92.66753,-31.95427,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 1980s
-67.19032,-38.024826,0,1,2,1,4,3,3,1,4,7,4,0,5,10,10,his time
21.686064,-14.6921425,0,1,2,1,4,4,4,6,7,0,7,6,12,7,7,heart surgery
-66.947014,-42.87871,0,1,2,1,3,3,3,1,4,7,4,0,5,10,10,our time
-16.29025,85.64153,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Los Angeles
-56.249798,89.28113,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Mexico
-50.03135,90.83988,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,West Germany
-26.066757,69.44243,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,cities
-66.43049,69.63116,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,the Persian Gulf
41.634426,-27.404501,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,baby formulas
-60.392582,-14.139045,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,litigation
67.40083,-86.527885,0,1,2,1,4,4,4,6,0,0,0,11,11,12,12,guitars
-42.79957,74.110794,0,0,0,3,1,1,0,7,6,2,9,8,8,3,3,the Park Avenue Chinese
-64.43453,55.840263,0,1,1,2,0,5,6,5,1,4,1,5,0,5,5,Islam
9.738346,-50.579872,0,1,1,2,0,5,6,5,3,1,3,10,10,1,1,television news
36.143818,29.711685,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,the B Division
-10.446198,103.93719,0,1,1,2,0,5,6,5,1,0,7,4,4,5,5,generations of Scots who migrated to northwestern Montana before and after it became a state in 1889
-62.33937,68.043076,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Israel
-62.651043,74.64831,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Sudan
-48.212784,74.43146,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Bali
22.68217,62.569675,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,spring gardening
7.189839,-41.169384,0,1,2,1,4,4,4,6,7,0,7,6,12,7,7,manhole covers
25.75276,-11.793974,0,1,2,1,4,4,4,6,7,0,7,6,12,13,7,gross
50.36831,-19.281301,0,1,2,1,4,4,4,6,7,0,7,6,12,13,14,a beanpole
-83.11389,-26.808968,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 20th century
52.22507,-63.41944,0,1,2,1,3,4,4,2,0,5,0,11,11,7,12,rock
-58.47794,73.61001,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Afghanistan
51.19546,-74.99558,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,rap music
10.574335,-104.40523,0,1,1,1,3,1,1,2,0,3,5,7,7,8,8,the art world
-17.351969,-64.14406,0,1,1,1,3,1,1,2,3,5,1,10,10,4,4,contemporary horror
27.334955,-71.50773,0,1,1,1,3,1,1,2,6,5,0,11,11,3,12,Off Off Broadway
42.08032,-86.9493,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,opera composers
-31.267355,82.419235,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Sicily
-20.017136,-76.23465,0,1,1,1,3,1,1,2,3,4,1,10,10,4,4,literary criticism
2.0487924,-20.917933,0,1,1,2,3,5,6,2,3,4,1,10,10,4,4,essay writing
25.431189,-56.360973,0,1,2,0,3,1,1,2,3,5,3,10,10,1,1,game shows
-83.82286,12.808713,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,the Indian poll Reich
-55.43367,-63.63628,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the Lost Generation
-56.930428,75.26715,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,India
46.94362,-91.210266,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,songpoem composers
-53.42717,79.25596,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Central Asia
-49.7645,80.446655,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Japan
25.149384,34.84454,0,1,2,1,4,4,4,6,7,0,7,6,12,7,14,UFO
2.6992002,35.237434,0,1,1,1,4,4,4,6,7,4,7,6,6,13,13,cuisine
-39.73589,-32.616528,0,1,1,2,4,5,5,0,8,9,8,1,1,6,6,West German industry
-75.56084,61.274464,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Mesopotamia
-30.356504,53.784103,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,the subway
-63.402958,-38.975258,0,1,2,1,4,4,4,6,7,0,7,5,0,7,7,her day
21.510191,0.7439894,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,DP
5.62387,-98.24064,0,1,2,1,4,1,1,2,0,3,5,7,7,8,8,sculpture
-38.569748,13.273769,0,1,1,2,0,5,5,0,8,9,8,1,1,6,6,the deal makers
-28.775059,72.32778,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Paris
11.324592,4.4964824,0,1,2,1,4,3,4,1,4,7,4,0,5,7,7,today
40.846172,-19.85516,0,1,2,2,4,4,4,6,7,0,7,6,6,13,13,nutrients
19.109705,-0.8500773,0,1,2,1,4,4,4,6,7,0,7,6,12,7,7,
65.90727,-44.103218,0,1,2,0,4,1,1,2,0,4,10,3,3,11,11,martial arts
-53.945107,96.752846,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Kosovo
-46.89243,91.81832,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,continents
-12.696886,11.493496,0,1,1,1,4,4,4,6,7,4,1,5,0,4,4,the spiritual life
-62.07794,-12.288361,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,American jurisprudence
-12.381219,68.6613,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,kosher in Kew Gardens Hills Queens
84.490295,31.863474,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,hockey
-9.898554,-37.66477,0,1,2,1,4,4,5,0,8,9,8,1,1,6,7,computer maintenance
15.526735,-71.86678,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,nouveau comedians
-5.998614,-47.723564,0,1,2,1,4,4,4,6,3,4,3,5,0,1,1,the camera
-93.630936,-32.604664,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 90s
62.268414,33.270435,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,offense
45.81374,-27.738699,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,guacamole
-13.973702,97.644966,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Louisiana
-84.055275,-49.392525,0,1,1,2,3,3,3,1,4,7,4,0,5,10,10,the 1990s and beyond
-64.11644,-38.07051,0,1,2,1,4,4,4,6,7,0,7,5,5,7,7,his day
78.17253,26.028463,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,his sport
41.35053,-44.103714,0,1,1,1,3,4,3,1,7,0,5,5,0,7,7,the Senior Citizen Set
30.949781,19.832178,0,1,2,1,4,4,4,6,7,0,1,5,0,7,4,the Camargue
-50.539917,80.84541,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,China
66.289635,50.13007,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,NFL
10.986249,-6.7307453,0,1,2,2,4,4,4,6,7,0,7,6,12,13,7,excuses
72.62895,34.5457,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,tennis
-55.623837,17.985989,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,the Republican Party
33.661346,12.800653,0,1,2,1,4,4,4,6,7,0,7,6,12,7,14,zweigelts
-28.337397,-70.724014,0,1,1,1,3,1,1,2,3,4,1,10,10,4,4,Cuban literature
76.225815,-88.379715,0,1,2,1,4,1,1,2,0,5,0,11,11,12,12,percussionists
-8.963274,69.25541,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,the Hamptons
-71.26557,-38.63383,0,1,2,1,3,3,3,1,4,7,4,0,5,10,10,his era
3.667872,36.64953,0,1,1,1,3,1,1,2,3,0,1,6,6,13,13,contemporary American cooking
82.95526,37.155075,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,womens squash
-58.982483,-59.517487,0,1,2,1,3,3,3,1,4,7,4,0,5,10,10,his generation
-80.11481,-47.345673,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 25th century
