label	text	annotated	source	modifier	target
0	1 ranking with a 62 36 60 63 secondround victory over the CarlUwe Steeb of West Germany		[]	[]	[]
1	1 suspect Leroy Linen 41 was in custody yesterday facing a felony charge as the Jesse James of Scofflaws	1 suspect |Leroy Linen| 41 was in custody yesterday facing a felony charge as the *Jesse James* of /Scofflaws/	['Jesse James']	['Scofflaws']	['Leroy Linen']
0	10 in the Nielsen ratings and on Sunday it won the Emmy for best comedy its second		[]	[]	[]
1	10 is so poised and elegiac that she comes off as the Norah Jones of her plastered generation	10 is so poised and elegiac that |she| comes off as the *Norah Jones* of /her plastered generation/	['Norah Jones']	['her plastered generation']	['she']
0	10 ranked player in the world a sleepyeyed player with a whispy beard nicknamed the Cat for the way he covers the court with deceptively quick silent strides		[]	[]	[]
0	10000 Payment Was Planned Mrs Whitehead was to have received 10000 from the Sterns for bearing a baby after being artificially inseminated with Mr Sterns sperm		[]	[]	[]
1	122 from 1983 to 2004 said Shes the Meryl Streep of downtown	122 from 1983 to 2004 said |She|s the *Meryl Streep* of /downtown/	['Meryl Streep']	['downtown']	['She']
0	14 Nathalie Tauziat of France 61 63 in the first semifinal at the Foro Italico and Sabatini followed with a 63 61 triumph over a Bettina Fulco of Argentina		[]	[]	[]
0	169 played a Stan Laurel to the Oliver Hardy of No		[]	[]	[]
0	1991 A Performance Chronicle of the Rediscovery of America by the Warrior for Gringostroika Written directed and performed by Guillermo GomezPena light design Tony Giovannetti maps and mirrors designed by Luis Brindis		[]	[]	[]
0	2 Dilettantes Enjoy a Spot of Recreational Homicide		[]	[]	[]
0	2 Pianos 4 Hands And a Couple of Elbows		[]	[]	[]
0	2 is ultimately an EP for the cult audience in the spirit of Nick Drake or Chris Bell though it also has echoes of Prince Bob Dylan and the Smiths		[]	[]	[]
0	2 that bespeaks the Picasso of Guernica		[]	[]	[]
0	24  WORLD RELIGION PARLIAMENT ENDS  After a week of sometimes disruptive events an assembly of religious leaders from around the world heard an appeal from the Dalai Lama for religious peace		[]	[]	[]
0	2500 a Pound for Tea		[]	[]	[]
0	30Year Bond at a Low of 652		[]	[]	[]
0	31 Chevrolet as the racecar to beat in the Chase for the Nextel Cup points championship		[]	[]	[]
1	4  For talk news and advice on everything from cooking to culture listeners turn to the Oprah Winfrey of Korean radio	4  For talk news and advice on everything from cooking to culture listeners turn to the *Oprah Winfrey* of /Korean radio/	['Oprah Winfrey']	['Korean radio']	[]
0	4 of 1693 in the courtly tread of the Chaconne from the Premier Concert of Schieferdeckers 1713 Concerts Musicaux in a remarkably ripe sarabande by the Handel of 1705		[]	[]	[]
0	40 and 41 jump into the business at hand with a suddenness that foreshadows the Beethoven of the Eighth Symphony and last string quartet		[]	[]	[]
0	49 in F minor La Passione 1768 one of his turbulent searching Sturm und Drang scores that tellingly anticipate the Beethoven of such works as the Coriolanus Overture		[]	[]	[]
0	50th Emmy Awards Presented  For the sixth year in a row HBO took the Emmy for outstanding movie this time for Don King Only in America		[]	[]	[]
0	51st Emmy Awards Presented  David Chase the creator of The Sopranos won the Emmy for writing the drama series		[]	[]	[]
0	6 St Josephs Reaches 140 With a Rout of Fordham		[]	[]	[]
0	67 Cadets Join in a Rout for First Victory		[]	[]	[]
0	7 PM Cartoon Network CLASS OF 3000  Andr Benjamin a k a Andr 3000 of the hiphop group OutKast lends his voice to Sunny Bridges in the second season of this vaguely autobiographical animated series about a star who gives up everything to teach a group of musical prodigies in Atlanta		[]	[]	[]
0	8 PM VH1 I LOVE THE 70S VOLUME II  Name that year Nadia Comaneci left got a gold for her perfect 10 Sally Field got an Emmy for her perfect 16 personalities that is and hits like Silly Love Songs and Afternoon Delight rocked the charts in a summer that had the entire nation seeing fireworks		[]	[]	[]
1	A  John Harms known as the Sol Hurok of Bergen County was an impresario who began bringing concert performers to New Jersey stages in the 1940s	A  |John Harms| known as the *Sol Hurok* of /Bergen County/ was an impresario who began bringing concert performers to New Jersey stages in the 1940s	['Sol Hurok']	['Bergen County']	['John Harms']
0	A 13game winning streak has virtually assured the Utah Jazz of finishing with the best record in the Western Conference		[]	[]	[]
1	A 1929 first edition of Tintin au Pays des Soviets recently sold for about 3450 at current exchange rates making Herge what Mr Crochelet termed the Van Gogh of the BD	A 1929 first edition of Tintin au Pays des Soviets recently sold for about 3450 at current exchange rates making |Herge| what Mr Crochelet termed the *Van Gogh* of /the BD/	['Van Gogh']	['the BD']	['Herge']
1	A 1993 oneofakind replica of it has become the Mona Lisa of the show	|A 1993 oneofakind replica| of it has become the *Mona Lisa* of /the show/	['Mona Lisa']	['the show']	['A 1993 oneofakind replica']
0	A 20year veteran of the Long Island wine industry who was born in Queens and studied viticulture at Cornell University he started as founding winemaker at Bridgehampton Vineyards worked with the Hargraves for a time and spent several years as a consultant to newcomers eager to start up wineries		[]	[]	[]
1	A 52yearold photographer from Little Rock Ark Mr McDermott may be the Ansel Adams of Angkor	A 52yearold photographer from Little Rock Ark |Mr McDermott| may be the *Ansel Adams* of /Angkor/	['Ansel Adams']	['Angkor']	['Mr McDermott']
0	A 90s Coach With a Dash of Lombardi		[]	[]	[]
0	A Blundering Dog and a Couple of Springs		[]	[]	[]
0	A Breather for Young People in Sarajevo and a Pause for Bosnia as a Whole		[]	[]	[]
1	A Bronx drugstore worker who the police said had portrayed himself as a Robin Hood for people who have the virus that causes AIDS was accused yesterday of stealing more than 171000 in medication to treat the virus	|A Bronx drugstore worker| who the police said had portrayed himself as a *Robin Hood* for /people who have the virus that causes AIDS/ was accused yesterday of stealing more than 171000 in medication to treat the virus	['Robin Hood']	['people who have the virus that causes AIDS']	['A Bronx drugstore worker']
0	A Bushel and a Peck for Adelaide		[]	[]	[]
0	A City Seeks a Remedy for Layoffs		[]	[]	[]
0	A ColdWar Couple With a Couple of Peculiarities		[]	[]	[]
0	A Dog a Fence a Hank of Hair		[]	[]	[]
0	A Drink of Premium Wine Is a Twist of the Wrist Away		[]	[]	[]
0	A Fading Actress a Pile of Drugs and 3 Slayings		[]	[]	[]
0	A Failing Dance Presenter Looks to a Gala for Rescue		[]	[]	[]
0	A Fashionista Turns a Page for Arts Sake		[]	[]	[]
0	A Father a Friend a Seller of Cyberporn		[]	[]	[]
0	A Few Tips on a Couple of New York Cabbies Who Are Not Hailed		[]	[]	[]
1	A Growth Industry  Orion Samuelson the Walter Cronkite of farm broadcasting has come a long way from Green Bay Wis where he read livestock prices on local TV to the Tribune Tower in Chicago where he is at the forefront of an increasingly technologydriven field	A Growth Industry  |Orion Samuelson| the *Walter Cronkite* of /farm broadcasting/ has come a long way from Green Bay Wis where he read livestock prices on local TV to the Tribune Tower in Chicago where he is at the forefront of an increasingly technologydriven field	['Walter Cronkite']	['farm broadcasting']	['Orion Samuelson']
0	A Guide to the Sky for Galactic Tourists		[]	[]	[]
0	A Little Bit of This a Little of That		[]	[]	[]
0	A Little of This a Little of That		[]	[]	[]
0	A Little of This a Little of That With a Fresh Woodwind Sound		[]	[]	[]
1	A Local Media Mogul  Dick French Jr is the Ted Turner of the Hudson Valley  in four years he has expanded Regional News Network a 24hour news operation based in Kingston NY from a station that broadcast to 250000 homes upstate to one that reaches 24 million homes through cable systems in New York New Jersey and Connecticut	A Local Media Mogul  |Dick French Jr| is the *Ted Turner* of /the Hudson Valley/  in four years he has expanded Regional News Network a 24hour news operation based in Kingston NY from a station that broadcast to 250000 homes upstate to one that reaches 24 million homes through cable systems in New York New Jersey and Connecticut	['Ted Turner']	['the Hudson Valley']	['Dick French Jr']
0	A Lonely Couch a Dash of Sex		[]	[]	[]
0	A Long Night of Miscues in the Mud for the Yanks and the White Sox		[]	[]	[]
0	A Message to All a Duel for the Ages		[]	[]	[]
0	A Methuselah of Pol Roger goes for about 250 a Salmanazar of Schramsberg Blanc de Blanc 1982 from California about 400 and a Balthazar of Veuve Clicquot about 850		[]	[]	[]
0	A Monitor on Gambling Becomes a Mentor for Newarks Schoolchildren		[]	[]	[]
0	A Mountain Climber a Cartoonist Two Brothers and a Ray of Sunshine		[]	[]	[]
0	A Necklace as a Token of Ecstasy		[]	[]	[]
0	A New Haircut And a Ray of Hope		[]	[]	[]
0	A Nod From Landmarks Officials a Dash of Public Housing Pride		[]	[]	[]
0	A Pioneer of the Big Box Builds a Tank for Some Very Big Fish		[]	[]	[]
0	A Place to Pick a Peck of Pickled Anything		[]	[]	[]
0	A Position of Greatness and a Hunger for Victory		[]	[]	[]
0	A President Dodging Potholes Finds a Stretch of Smooth Road		[]	[]	[]
0	A Roll of the Dice for Dion  Celine Dions new show at Caesars Palace in Las Vegas is widely perceived as a gamble		[]	[]	[]
0	A Rose or a Thorn for East Harlem		[]	[]	[]
0	A Royalist a Cavalier of the slums shes long pondered the biblical motto an eye for an eye and a tooth for a tooth and one day decides to take it seriously		[]	[]	[]
0	A Seized Car Story With a Twist of Lemon		[]	[]	[]
0	A Ship Called Jesus 1991  the title refers to the Jesus of Lubeck a slave ship sent to the New World by Elizabeth I of England  concentrates on religion with crucifixes church windows and Bible passages punctuated by shots of undulating water		[]	[]	[]
0	A Singer Brings Back the Spunk of 40s Women		[]	[]	[]
0	A SmallScreen Feast of Verite Born of a Hunger for Impact		[]	[]	[]
0	A SmallTown Museum Orders a Couple of Very Old Eggs		[]	[]	[]
0	A Sprint Into a Weekend of Climbing		[]	[]	[]
0	A Studio Commissary Seeks a Dash of Glamour		[]	[]	[]
0	A Surplus of Grapes Is a Boon for Buyers		[]	[]	[]
0	A Sweet Scandinavian Sampler With a Dash of German Delight		[]	[]	[]
0	A Touch of the Irish a Dash of the Algerian		[]	[]	[]
0	A Tribute to Parker by a Peer of Parkers		[]	[]	[]
0	A US Star Turn For the Jumbo of Jets		[]	[]	[]
0	A Venerable Sax Man Channels a Couple of Patriarchs		[]	[]	[]
0	A Very Naughty Cartoonist As a Paragon of Normalcy		[]	[]	[]
0	A Very Naughty Cartoonist as a Paragon of Normalcy		[]	[]	[]
0	A Voyage to the Spice Islands At the Twist of a Wrist		[]	[]	[]
0	A WOMAN among composers a freethinker among Soviet apparatchiks a Christian among atheists an Easterner half Tatar among Europeans a modernist among reactionaries and a reactionary among modernists Sofia Gubaidulina has lived with many conflicts both with the outside world and within herself		[]	[]	[]
0	A Warrior Conquers the Wood for the Boss		[]	[]	[]
0	A Wash and Maybe a Trim for Village Pets		[]	[]	[]
0	A Yoruba Tale by Phillis Gerhator Spirit of the Cedar People by Chief Lelooska and Christine Normandin The Troll With No Heart in His Body and Other Tales of Trolls From Norway by Lisa LungeLarsen The Power of Personal Storytelling Spinning Tales to Connect With Others by Jack Maguire Let My People Go Bible Stories Told by a Freeman of Color by Patricia and Frederick L McKissack The Way of the Human Being by Calvin Luther Martin Why Leopard Has Spots Dan Stories From Liberia by WonLdy Paye and Margaret H Lippert Hearsay Strange Tales From the Middle Kingdom by Barbara Ann Porte You Never Know A Legend of the LamedVavniks by Francine Prose A Coat for the Moon and Other Jewish Tales by Howard Schwartz and Barbara Rush The Storytellers Journey An American Revival by Joseph Sobol and Gray Heroes Elder Tales From Around the World by Jane Yolen		[]	[]	[]
0	A Young Mans Berg and a Bach for All Seasons		[]	[]	[]
1	A backup quarterback is the Rich Little of football spending the week before a game doing an impression of the opposing teams quarterback	|A backup quarterback| is the *Rich Little* of /football/ spending the week before a game doing an impression of the opposing teams quarterback	['Rich Little']	['football']	['A backup quarterback']
1	A bagels the Shakespeare the Tolstoy of flour	A |bagel|s the Shakespeare the *Tolstoy* of /flour/	['Tolstoy']	['flour']	['bagel']
1	A better analogy is Muammar elQaddafi of Libya who used to be denounced as the Hitler of the 1980s	A better analogy is |Muammar elQaddafi| of Libya who used to be denounced as the *Hitler* of /the 1980s/	['Hitler']	['the 1980s']	['Muammar elQaddafi']
1	A blackandwhite newsreel shows him bounding onto the stage at the Democratic National Convention as the vicepresidential nominee the Dan Quayle of his time	A blackandwhite newsreel shows |him| bounding onto the stage at the Democratic National Convention as the vicepresidential nominee the *Dan Quayle* of /his time/	['Dan Quayle']	['his time']	['him']
0	A book with representatives of both the showy and the simple is Susan G Purdys LET THEM EAT CAKE 140 Sinfully Rich Desserts  With a Fraction of the Fat Morrow 25		[]	[]	[]
0	A boxoffice phenomenon in Russia Night Watch has established its visually saucy director Timur Bekmambetov who wrote the screenplay with Mr Lukyanenko as something akin to Russias answer to the Ridley Scott of Blade Runner		[]	[]	[]
1	A businessman as well as a physician he has been called the Sam Walton of heart surgery	A businessman as well as a physician |he| has been called the *Sam Walton* of /heart surgery/	['Sam Walton']	['heart surgery']	['he']
