model	sent	prediction_label	score_pos	score_neg	final
0	Egypt is the Hollywood of the Middle East, he says.	1	0.9988	0.0012	1
0	Joe was my best friend and my world.	0	0.491	0.509	0
0	“He is like our ‘naughty kid of the family’ as he gets that wound up when he’s not playing and sometimes when he doesn’t perform how he knows I expect him to perform he has a little head wobble.	1	0.515	0.485	0
0	“He’s like the Sherlock Holmes of garbage.”    Throughout the series, the majority of fan emails that Whitesides received were from children who noticed a cleaning supply that wasn’t in the book and suggested a magical purpose.	1	0.9989	0.0011	1
0	“Original Don Dada of the blond bottle/ the model/ from White America/ Then Joe/ the spokesperson for the Latino.”  Guess there’s no hard feelings there.	0	0.489	0.511	0
0	“Untouchables in football, only consistency can give you that status,” said Mourinho, whose champions are 15th in the Premier League after two wins in the opening seven games.	0	0.4975	0.5025	0
0	(Equally tongue-in-cheek, he went on to declare Citizen Jack "the Great American Comic Book" because, as he put it, "America is the place where a drunk, downtrodden, demon-worshiping snowblower salesman actually stands a good chance at becoming president.")	1	0.5108	0.4892	0
0	• TE Adrien Robinson: The fourth-round pick in 2012 never made his mark, despite being dubbed as the "JPP of tight ends."	1	0.9989	0.0011	1
0	2 and 3, respectively, for a second straight week.	0	0.0013	0.9987	0
0	3 in America and topped the charts in Canada, Australia, the UK and Ireland.	0	0.0014	0.9986	0
0	and One Born Every Minute have also received nominations.	0	0.0013	0.9987	0
0	And without the Homebrew Computer Club of Silicon Valley, introverted Woz may never have been motivated to show off, or even build, the very first Apple computer, the Apple I.	0	0.489	0.511	0
0	Another client recently referred to Eng as the Mister Myagi of Life Coaching.	1	0.9987	0.0013	1
0	Applications are open until October 26.	0	0.0013	0.9987	0
0	Applications close on September 28.	0	0.0013	0.9987	0
0	Applications will be accepted through Oct. 1 and will be reviewed during November.	0	0.0014	0.9986	0
0	As my wife was wheeled into the ward, up bounced the Jerry Garcia of obstetrics: flower shirt; jeans, distressed (but not as much as me).	1	0.9987	0.0013	1
0	As she says, eloquently: “The final secret of hacker culture is that Google is a black swan, a lightning strike, an outlier, a Goliath.	1	0.5025	0.4975	0
0	As the "Shark Tank" of robotics, it is a must-attend event for investors, robotics entrepreneurs and innovation leaders alike.	1	0.9988	0.0012	1
0	Australia's peak mining body is trying to turn that bad publicity around with a new advertising campaign that has some people calling it the "PR fail of the year."	1	0.5033	0.4967	0
0	Available this Saturday, September 26th at select retailers.	0	0.0013	0.9987	0
0	Awards were announced on Wednesday.	0	0.0013	0.9987	0
0	Awards will be announced Nov. 25.	0	0.0013	0.9987	0
