sent	tags	final_label	final_annotation
A group of young men wearing Tshirts that said Netnam the Microsoft of Vietnam crowded in behind us	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O']	1	A group of young men wearing Tshirts that said |Netnam| the *Microsoft* of /Vietnam/ crowded in behind us
Although spring is still with us for a spell consider Playboy of the West Indies the first getaway of the summer	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O']	0	Although spring is still with us for a spell consider Playboy of the West Indies the first getaway of the summer
And Lawrence Ellison chief executive of Microsofts archrival Oracle has hailed integration of Web sites with his companys powerful database software as the key to making Oracle the Microsoft of the Internet	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	And Lawrence Ellison chief executive of Microsofts archrival Oracle has hailed integration of Web sites with his companys powerful database software as the key to making |Oracle| the *Microsoft* of /the Internet/
And there is the Malibu of the surf bums	['O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	0	And there is the Malibu of the surf bums
As C Vann Woodward once put it we see ourselves as the eternal Peter Pan among nations	['O', 'B-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	As C Vann Woodward once put it |we| see ourselves as the /eternal/ *Peter Pan* /among nations/
As Disneys Cinderella for the 90s Brandy is amazingly good	['O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'B-TRG', 'O', 'O', 'O']	0	As Disneys Cinderella for the 90s Brandy is amazingly good
As the doorman in the busby let us in and we entered this Taj Mahal of toys Nicholas fell silent with reverence	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O']	1	As the doorman in the busby let us in and we entered this *Taj Mahal* of /toys/ Nicholas fell silent with reverence
Bailyn makes the point by comparing the houses of rich Americans the Byrds and Carters of Virginia the Van Cortlandts of New York with houses in England	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O']	0	Bailyn makes the point by comparing the houses of rich Americans the Byrds and Carters of Virginia the Van Cortlandts of New York with houses in England
Before leaving Rajoubs headquarters that day I asked one of his aides for a lift back to the Israeli checkpoint since it is difficult to catch a ride out of Jericho a desertified Brigadoon of a city	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-TRG', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	Before leaving Rajoubs headquarters that day I asked one of his aides for a lift back to the Israeli checkpoint since it is difficult to catch a ride out of |Jericho| a /desertified/ *Brigadoon* of a city
Bo introduces me as Mr Ron Wood of the Rolling Stones Mr Wood noted and I introduce him as Mr Bo Diddley of himself	['O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	Bo introduces me as Mr Ron Wood of the Rolling Stones Mr Wood noted and I introduce him as Mr Bo Diddley of himself
Brazils leading news magazine a year ago called Miami the investment El Dorado of the Brazilian middle class	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'I-MOD']	1	Brazils leading news magazine a year ago called |Miami| the /investment/ *El Dorado* of /the Brazilian middle class/
But Ms Harriss existential interpretation and her subtle interplay with Mr Bauer fit right into Mr Ciuleis cunning concept a Hedda Gabler in real living color	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	0	But Ms Harriss existential interpretation and her subtle interplay with Mr Bauer fit right into Mr Ciuleis cunning concept a Hedda Gabler in real living color
But Sunday night NBCs new comedies Men Behaving Badly and Jenny trailed all three other networks even among the young viewers NBC has declared the Holy Grail of television	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	But Sunday night NBCs new comedies Men Behaving Badly and Jenny trailed all three other networks even among |the young viewers| NBC has declared the *Holy Grail* of /television/
By January 2001 blind dates had become a Gong Show of romance for Dr	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'B-TRG']	1	By January 2001 |blind dates| had become a *Gong Show* of /romance/ for Dr
Cadillac has built a pickup truck the Cadillac of pickups nearly three tons worth available in sable black white diamond or silver sand with the familiar Cadillac coat of arms stretched across its hulking grill	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	Cadillac has built a |pickup truck| the *Cadillac* of /pickups/ nearly three tons worth available in sable black white diamond or silver sand with the familiar Cadillac coat of arms stretched across its hulking grill
China has been the Ama zoncom of countries a place where people were ready to make huge bets and take huge losses on the assumption of huge profits one day	['B-TRG', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	|China| has been the *Ama zoncom* of /countries/ a place where people were ready to make huge bets and take huge losses on the assumption of huge profits one day
Claude Closkys amusing monumental collage One Thousand Things to Do which consists mostly of imperatives Look back in amber clipped from fashion magazines is like Edward Ruscha for beginners	['B-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	Claude Closkys amusing monumental collage |One Thousand Things to Do| which consists mostly of imperatives Look back in amber clipped from fashion magazines is like *Edward Ruscha* for /beginners/
Cosmopolitan was condemned as a womens version of Playboy and Mrs Brown as a Pied Piper of libertinism who was leading young ladies away from their parents to jobs in the city and into affairs	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	|Cosmopolitan| was condemned as a /womens version/ of *Playboy* and |Mrs Brown| as a *Pied Piper* of /libertinism/ who was leading young ladies away from their parents to jobs in the city and into affairs
Does that mean they will be the AOLs of the interactive age	['O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	1	Does that mean |they| will be the *AOLs* of /the interactive age/
During flush times in 2000 the German government stood by as Vodafone of Britain absorbed one of the countrys largest conglomerates Mannesmann in an epic takeover battle	['O', 'O', 'O', 'O', 'O', 'O', 'I-TRG', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	During flush times in 2000 the German government stood by as Vodafone of Britain absorbed one of the countrys largest conglomerates Mannesmann in an epic takeover battle
Even in town our driver was the emperor of the road arrogantly cutting off a local bus about to lumber through an intersection	['O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	Even in town our driver was the emperor of the road arrogantly cutting off a local bus about to lumber through an intersection
Ever since Communism collapsed tens of thousands of women in Russia Ukraine and other former Soviet republics have signed up with matrimonial agencies and mailorderbride companies in the hope of finding a Prince Charming in the West	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O']	1	Ever since Communism collapsed tens of thousands of women in Russia Ukraine and other former Soviet republics have signed up with matrimonial agencies and mailorderbride companies in the hope of finding a *Prince Charming* in /the West/
FINAL TAKE In the current AprilMayJune issue of Inventors Digest Paul Niemann asks Is Irony the StepMonster of Innovation	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'B-SRC', 'O', 'B-MOD']	1	FINAL TAKE In the current AprilMayJune issue of Inventors Digest Paul Niemann asks Is |Irony| the *StepMonster* of /Innovation/
For example Peter Anders the Lionel of a muchcirculated 1944 Berlin Martha sings it very nicely but is so clearly managing the vocal line that he cant manage any real vocal ease or poetry	['O', 'O', 'B-TRG', 'I-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	For example Peter Anders the Lionel of a muchcirculated 1944 Berlin Martha sings it very nicely but is so clearly managing the vocal line that he cant manage any real vocal ease or poetry
For Mr Forster the once popular notion embraced by Le Corbusier of architects as itinerant doctors resolving social and urban ills is defunct	['O', 'B-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	For Mr Forster the once popular notion embraced by Le Corbusier of architects as itinerant doctors resolving social and urban ills is defunct
