	label	article	year	article_id	src_wiki_id	sent	annotated	source	modifier	target	full_target_name	trg_wiki_id
0	1	nyt_corpus_1994.har/02/20/0670039.xml	1994.0	670039.0	Q182011	It was a Tourte, the Stradivarius of bows, Freeman said.	It was |a Tourte|, the *Stradivarius* of /bows/, Freeman said.	Stradivarius	bows	a Tourte		
1	1	nyt_corpus_1989.har/11/15/0301143.xml	1989.0	301143.0	Q591743	Dave LaPoint, with his sense of humor, willingness to help and left-handed observations of the weirdness at Yankee Stadium, might just be the Larry Miller of our time.	|Dave LaPoint|, with his sense of humor, willingness to help and left-handed observations of the weirdness at Yankee Stadium, might just be the *Larry Miller* of /our time/.	Larry Miller	our time	Dave LaPoint	 Dave LaPoint	Q5229141
2	1	nyt_corpus_1988.har/07/22/0163681.xml	1988.0	163681.0	Q271884	Mr. Paul, a 60-year-old Friar Tuck lookalike, is considered the Norman Rockwell of television directors.	|Mr. Paul|, a 60-year-old Friar Tuck lookalike, is considered the *Norman Rockwell* of /television directors/.	Norman Rockwell	television directors	Mr. Paul	 George Paul	
3	1	nyt_corpus_1988.har/01/23/0112122.xml	1988.0	112122.0	Q298237	Meldrim Thomson Jr. of New Hampshire, Mr. Robertson's campaign manager in that state, called Mr. Kemp ''the Benedict Arnold of the Republican Party.''	Meldrim Thomson Jr. of New Hampshire, Mr. Robertson's campaign manager in that state, called |Mr. Kemp| ''the *Benedict Arnold* of /the Republican Party/.''	Benedict Arnold	the Republican Party	Mr. Kemp	 Jack F. Kemp	Q357676
4	1	nyt_corpus_1988.har/06/05/0151262.xml	1988.0	151262.0	Q8768	team, is described by his admirers as the Henry Ford of solar cars.	team, is described by his admirers as the *Henry Ford* of /solar cars/.	Henry Ford	solar cars		 James Worden	
5	1	nyt_corpus_1987.har/11/23/0095650.xml	1987.0	95650.0	Q303	He was known as the Elvis of Torrington.	|He| was known as the *Elvis* of /Torrington/.	Elvis	Torrington	He	 Jim Lehmann	
6	1	nyt_corpus_1987.har/12/22/0103904.xml	1987.0	103904.0	Q103846	This season they have hidden him somewhere behind the boys' clothing section; and yes, his black-rimmed eyeglasses make him the Groucho Marx of the Kringle clan.	This season they have hidden him somewhere behind the boys' clothing section; and yes, his black-rimmed eyeglasses make |him| the *Groucho Marx* of /the Kringle clan/.	Groucho Marx	the Kringle clan	him	 Joe Fargis	
7	1	nyt_corpus_1987.har/12/07/0099935.xml	1987.0	99935.0	Q739866	Whatever the count, Mr. Wallace, 56 years old, still has a chance to become the Pete Rose of legal argumentation.	Whatever the count, |Mr. Wallace|, 56 years old, still has a chance to become the *Pete Rose* of /legal argumentation/.	Pete Rose	legal argumentation	Mr. Wallace	 Lawrence G. Wallace	Q6504080
8	1	nyt_corpus_1989.har/01/15/0214315.xml	1989.0	214315.0	Q189081	Ray McAnally is a bluff, robust fellow, most certainly not to be regarded as the Howard Hughes of Irish theaterland.	|Ray McAnally| is a bluff, robust fellow, most certainly not to be regarded as the *Howard Hughes* of /Irish theaterland/.	Howard Hughes	Irish theaterland	Ray McAnally	 Ray McAnally	Q1530604
9	1	nyt_corpus_1989.har/03/24/0234364.xml	1989.0	234364.0	Q223766	He called Mr. Anthony ''the P. T. Barnum of sleaze'' and said the accusations were a ''pre-emptive strike'' in advance of the ethics committee's report on Mr. Wright.	He called |Mr. Anthony| ''the *P. T. Barnum* of /sleaze/'' and said the accusations were a ''pre-emptive strike'' in advance of the ethics committee's report on Mr. Wright.	P. T. Barnum	sleaze	Mr. Anthony	 Representative Beryl F. Anthony Jr.	Q829269
10	1	nyt_corpus_1989.har/10/29/0295608.xml	1989.0	295608.0	Q80938	For some people he's the John Travolta of early 80's art.	For some people |he|'s the *John Travolta* of /early 80's art/.	John Travolta	early 80's art	he	 Robert Longo	Q1250139
11	1	nyt_corpus_1987.har/11/20/0094729.xml	1987.0	94729.0	Q231417	She said she has been a television reporter for 22 years but disagreed with Mr. Moffett's description of her as ''the Barbara Walters of Soviet television.''	She said she has been a television reporter for 22 years but disagreed with Mr. Moffett's description of |her| as ''the *Barbara Walters* of /Soviet television/.''	Barbara Walters	Soviet television	her	 Svetlana Starodomskaya	
12	1	nyt_corpus_1988.har/01/13/0109114.xml	1988.0	109114.0	Q43203	He's a phenomenon - the Clint Eastwood of the art museum director's world,'' said the director of the Brooklyn Museum, Robert Buck.	|He|'s a phenomenon - the *Clint Eastwood* of /the art museum director's world/,'' said the director of the Brooklyn Museum, Robert Buck.	Clint Eastwood	the art museum director's world	He	 Thomas Krens	Q3525291
13	1	nyt_corpus_1992.har/05/29/0532182.xml	1992.0	532182.0	Q320633	"It was ""Country Joe"" McDonald, the Francis Scott Key of the Vietnam era, who dominated the movie, at one point leading 500,000 fans in an obscene variant of a familiar high-school cheer."	"It was |""Country Joe"" McDonald|, the *Francis Scott Key* of /the Vietnam era/, who dominated the movie, at one point leading 500,000 fans in an obscene variant of a familiar high-school cheer."	Francis Scott Key	the Vietnam era	Country Joe McDonald	Country Joe McDonald	Q722395
14	1	nyt_corpus_2005.har/01/10/1640960.xml	2005.0	1640960.0	Q153032	If the double eagle is the Mona Lisa of coins,'' Ms. Deisher added, ''then the analogy is public display in the Louvre.	If |the double eagle| is the *Mona Lisa* of /coins/,'' Ms. Deisher added, ''then the analogy is public display in the Louvre.	Mona Lisa	coins	the double eagle	1933 double eagle	Q3037465
15	1	nyt_corpus_2002.har/07/31/1412401.xml	2002.0	1412401.0	Q153032	This is the Mona Lisa of coins,'' said Beth Deisher, editor of Coin World, the largest weekly coin publication, with a circulation of 85,000.	|This| is the *Mona Lisa* of /coins/,'' said Beth Deisher, editor of Coin World, the largest weekly coin publication, with a circulation of 85,000.	Mona Lisa	coins	This	1933 double eagle	Q3037465
16	1	nyt_corpus_1997.har/02/17/0909645.xml	1997.0	909645.0	Q463673	Some of this, of course, stems from the fact that 1996 was the Regis Philbin of recent campaigns: politics was omnipresent but so bland as to pass unnoticed.	Some of this, of course, stems from the fact that |1996| was the *Regis Philbin* of /recent campaigns/: politics was omnipresent but so bland as to pass unnoticed.	Regis Philbin	recent campaigns	1996	1996	Q2070
17	1	nyt_corpus_2007.har/06/13/1854107.xml	2007.0	1854107.0	Q2685	Aldo called it the Arnold Schwarzenegger of zweigelts, and not coincidentally it was the most expensive zweigelt in the tasting, at $28.	Aldo called |it| the *Arnold Schwarzenegger* of /zweigelts/, and not coincidentally it was the most expensive zweigelt in the tasting, at $28.	Arnold Schwarzenegger	zweigelts	it	2003 Weninger Raga	
18	1	nyt_corpus_1995.har/04/09/0754152.xml	1995.0	754152.0	Q8018	"Now, for most of ""Me Against the World,"" 2Pac comes across as a St. Augustine of gangster rap: after leading a life of sin, he wants to steer others away from his own mistakes."	"Now, for most of ""Me Against the World,"" |2Pac| comes across as a *St. Augustine* of /gangster rap/: after leading a life of sin, he wants to steer others away from his own mistakes."	St. Augustine	gangster rap	2Pac	2Pac	Q6107
19	1	nyt_corpus_2003.har/12/27/1546115.xml	2003.0	1546115.0	Q319084	Republicans are likely to be infuriated by ''A New War,'' an Al Franken of a play that preaches happily to the converted.	Republicans are likely to be infuriated by ''|A New War|,'' an *Al Franken* of /a play/ that preaches happily to the converted.	Al Franken	a play	A New War	A New War	
20	1	nyt_corpus_1987.har/05/22/0042958.xml	1987.0	42958.0	Q221048	He added, ''In short, he is the Jackie Robinson of the corporate world.''	He added, ''In short, |he| is the *Jackie Robinson* of /the corporate world/.''	Jackie Robinson	the corporate world	he	A. Barry Rand	
21	1	nyt_corpus_2003.har/05/04/1486084.xml	2003.0	1486084.0	Q7191	and elsewhere, he won the 1999 A. M. Turing Award, sometimes called the Nobel of computer science.	and elsewhere, he won |the 1999 A. M. Turing Award|, sometimes called the *Nobel* of /computer science/.	Nobel	computer science	the 1999 A. M. Turing Award	A. M. Turing Award	Q185667
22	1	nyt_corpus_2004.har/09/20/1612886.xml	2004.0	1612886.0	Q959153	He can read the biblical story of Aaron and imagine ''the Frank Stallone of ancient Judaism.''	He can read the biblical story of |Aaron| and imagine ''the *Frank Stallone* of /ancient Judaism/.''	Frank Stallone	ancient Judaism	Aaron	Aaron	Q51676
23	1	nyt_corpus_2004.har/10/03/1615895.xml	2004.0	1615895.0	Q959153	Seems he was sort of the Frank Stallone of ancient Judaism.	Seems |he| was sort of the *Frank Stallone* of /ancient Judaism/.	Frank Stallone	ancient Judaism	he	Aaron	Q51676
24	1	nyt_corpus_2001.har/08/17/1317787.xml	2001.0	1317787.0	Q1689414	Aaron Carter is the Jimmy Osmond of today, the little brother of a megastar (Nick Carter of the Backstreet Boys) who is cashing in on cuteness.	|Aaron Carter| is the *Jimmy Osmond* of /today/, the little brother of a megastar (Nick Carter of the Backstreet Boys) who is cashing in on cuteness.	Jimmy Osmond	today	Aaron Carter	Aaron Carter	Q301818
25	1	nyt_corpus_2001.har/08/17/1317844.xml	2001.0	1317844.0	Q1345775	I said, 'Ernest, I promise you, he'd be the Whitey Ford of the concert hall.'	I said, 'Ernest, I promise you, |he|'d be the *Whitey Ford* of /the concert hall/.'	Whitey Ford	the concert hall	he	Aaron Copland	Q192185
26	1	nyt_corpus_1996.har/12/26/0897637.xml	1996.0	897637.0	Q75021	That had to be part of the equation,'' she said, adding that her spiritual adviser was ''the Jackie Mason of rabbinic law, very funny, very brilliant.''	That had to be part of the equation,'' she said, adding that |her spiritual adviser| was ''the *Jackie Mason* of /rabbinic law/, very funny, very brilliant.''	Jackie Mason	rabbinic law	her spiritual adviser	Aaron M. Feuerstein	Q4662003
27	1	nyt_corpus_1999.har/11/07/1151463.xml	1999.0	1151463.0	Q9554	Not for nothing has Mr. Nouri, 50, been called the Martin Luther of Iran.	Not for nothing has |Mr. Nouri|, 50, been called the *Martin Luther* of /Iran/.	Martin Luther	Iran	Mr. Nouri	Abdullah Nouri	
28	1	nyt_corpus_1991.har/12/09/0492566.xml	1991.0	492566.0	Q3051017	Sticking his hand in a glass bowl, Abedi Pele drew out the name of his own national team, Ghana, for an elimination round with seasoned Algeria and up-and-coming Uganda, making it possible for a star like Abedi Pele to become the Ernie Banks of Africa, never reaching the championship round in his sport.	Sticking his hand in a glass bowl, Abedi Pele drew out the name of his own national team, Ghana, for an elimination round with seasoned Algeria and up-and-coming Uganda, making it possible for a star like |Abedi Pele| to become the *Ernie Banks* of /Africa/, never reaching the championship round in his sport.	Ernie Banks	Africa	Abedi Pele	Abedi Pele	Q336916
29	1	nyt_corpus_2005.har/06/07/1678349.xml	2005.0	1678349.0	Q157054	Racks of colored robes, with neat stitches and fitting marks, fill the workshop of this scholarly city's most famous tailor, the Giorgio Armani of clerical clothes, Abolfazl Arabpour.	Racks of colored robes, with neat stitches and fitting marks, fill the workshop of |this scholarly city's most famous tailor|, the *Giorgio Armani* of /clerical clothes/, Abolfazl Arabpour.	Giorgio Armani	clerical clothes	this scholarly city's most famous tailor	Abolfazl Arabpour	
30	1	nyt_corpus_2005.har/11/20/1719129.xml	2005.0	1719129.0	Q453251	If bin Laden is the Robin Hood of jihad,'' the authors write, then Abu Musab al-Zarqawi ''has been its Horatio Alger, and Iraq his field of dreams.''	If bin Laden is the Robin Hood of /jihad/,'' the authors write, then |Abu Musab al-Zarqawi| ''has been its *Horatio Alger*, and Iraq his field of dreams.''	Horatio Alger	jihad	Abu Musab al-Zarqawi	Abu Musab al-Zarqawi	Q181049
31	1	nyt_corpus_2006.har/06/09/1767765.xml	2006.0	1767765.0	Q34286	I would call him the Alexander Graham Bell of terrorist propaganda,'' said Evan F. Kohlmann, who follows militants' Web sites at GlobalTerrorAlert.com.	I would call |him| the *Alexander Graham Bell* of /terrorist propaganda/,'' said Evan F. Kohlmann, who follows militants' Web sites at GlobalTerrorAlert.com.	Alexander Graham Bell	terrorist propaganda	him	Abu Musab al-Zarqawi	Q181049
32	1	nyt_corpus_1987.har/05/10/0038816.xml	1987.0	38816.0	Q541526	Mr. Freyer, who is also a painter and is sometimes called the Robert Wilson of Germany, is best known for his stagings of Philip Glass's ''Satyagraha'' and ''Akhnaten'' in Stuttgart, but he has also directed and designed works as diverse as Mozart's ''Zauberflote'' for Hamburg, Weber's ''Freischutz'' for Stuttgart and Handel's ''Messiah'' for West Berlin.	|Mr. Freyer|, who is also a painter and is sometimes called the *Robert Wilson* of /Germany/, is best known for his stagings of Philip Glass's ''Satyagraha'' and ''Akhnaten'' in Stuttgart, but he has also directed and designed works as diverse as Mozart's ''Zauberflote'' for Hamburg, Weber's ''Freischutz'' for Stuttgart and Handel's ''Messiah'' for West Berlin.	Robert Wilson	Germany	Mr. Freyer	Achim Freyer	Q340384
33	1	nyt_corpus_2007.har/03/16/1833380.xml	2007.0	1833380.0	Q316161	Law is the smooth lefty point guard who just might be the Lenny Wilkens of the next decade.	|Law| is the smooth lefty point guard who just might be the *Lenny Wilkens* of /the next decade/.	Lenny Wilkens	the next decade	Law	Acie Law IV	Q2450307
34	1	nyt_corpus_1995.har/06/29/0771862.xml	1995.0	771862.0	Q3603336	"He is sort of like the Abby Hoffman of the movement, said Zephyr, a Manhattan man who calls himself the ""elder statesman"" of graffiti makers."	"|He| is sort of like the *Abby Hoffman* of /the movement/, said Zephyr, a Manhattan man who calls himself the ""elder statesman"" of graffiti makers."	Abby Hoffman	the movement	He	Adam Cole	
35	1	nyt_corpus_2005.har/07/26/1690071.xml	2005.0	1690071.0	Q35332	But it wasn't until Mr. Cooper, the man the English press has called the Brad Pitt and the David Beckham of dance, began to strip to his 18th-century knickers as the irresistibly frozen-hearted, woman-devouring Vicomte de Valmont that the first real frisson shot through the audience.	But it wasn't until |Mr. Cooper|, the man the English press has called the *Brad Pitt* and the David Beckham of /dance/, began to strip to his 18th-century knickers as the irresistibly frozen-hearted, woman-devouring Vicomte de Valmont that the first real frisson shot through the audience.	Brad Pitt	dance	Mr. Cooper	Adam Cooper	Q2823932
36	1	nyt_corpus_2005.har/07/26/1690071.xml	2005.0	1690071.0	Q10520	But it wasn't until Mr. Cooper, the man the English press has called the Brad Pitt and the David Beckham of dance, began to strip to his 18th-century knickers as the irresistibly frozen-hearted, woman-devouring Vicomte de Valmont that the first real frisson shot through the audience.	But it wasn't until |Mr. Cooper|, the man the English press has called the Brad Pitt and the *David Beckham* of /dance/, began to strip to his 18th-century knickers as the irresistibly frozen-hearted, woman-devouring Vicomte de Valmont that the first real frisson shot through the audience.	David Beckham	dance	Mr. Cooper	Adam Cooper	Q2823932
37	1	nyt_corpus_2000.har/06/10/1206103.xml	2000.0	1206103.0	Q310176	He is a regular contributor to The London Review of Books and has been described by The Times of London as ''the Martin Amis of British psychoanalysis,'' for his ''brilliantly amusing and often profoundly unsettling'' work.	|He| is a regular contributor to The London Review of Books and has been described by The Times of London as ''the *Martin Amis* of /British psychoanalysis/,'' for his ''brilliantly amusing and often profoundly unsettling'' work.	Martin Amis	British psychoanalysis	He	Adam Phillips	Q4679608
38	1	nyt_corpus_2003.har/07/13/1503962.xml	2003.0	1503962.0	Q310176	Although Phillips cuts a sufficiently glamorous figure to earn him the sobriquet ''the Martin Amis of British psychoanalysis,'' he firmly states his preference for the common over the uncommon patient.	Although Phillips cuts a sufficiently glamorous figure to earn |him| the sobriquet ''the *Martin Amis* of /British psychoanalysis/,'' he firmly states his preference for the common over the uncommon patient.	Martin Amis	British psychoanalysis	him	Adam Phillips	Q4679608
39	1	nyt_corpus_1995.har/09/19/0789605.xml	1995.0	789605.0	Q122634	Mr. Ramos, a Robin Hood of the soil among the homesteaders, occupied the Fazenda Santa Elina against the warnings of organized land reform movements.	|Mr. Ramos|, a *Robin Hood* of /the soil/ among the homesteaders, occupied the Fazenda Santa Elina against the warnings of organized land reform movements.	Robin Hood	the soil	Mr. Ramos	Adelino Ramos	
40	1	nyt_corpus_1999.har/08/10/1129636.xml	1999.0	1129636.0	Q8023	Adem Demaci, often called the Nelson Mandela of Kosovo, has found some of the same serenity and moderation, urging his fellow Albanians to use their sudden gift of freedom to build a civilized society here.	|Adem Demaci|, often called the *Nelson Mandela* of /Kosovo/, has found some of the same serenity and moderation, urging his fellow Albanians to use their sudden gift of freedom to build a civilized society here.	Nelson Mandela	Kosovo	Adem Demaci	Adem Demaci	Q355648
41	1	nyt_corpus_1988.har/04/12/0135375.xml	1988.0	135375.0	Q26456	Eugene Borowitz, professor of Jewish religious thought at Hebrew Union College, called Rabbi Steinsaltz ''the Rashi of our time,'' adding ''He does for the modern reader what Rashi has done for centuries of Jewish readers.''	Eugene Borowitz, professor of Jewish religious thought at Hebrew Union College, called |Rabbi Steinsaltz| ''the *Rashi* of /our time/,'' adding ''He does for the modern reader what Rashi has done for centuries of Jewish readers.''	Rashi	our time	Rabbi Steinsaltz	Adin Steinsaltz	Q357304
42	1	nyt_corpus_1987.har/11/01/0088343.xml	1987.0	88343.0	Q152505	So while Marshall W. Mason commenced a long leave of absence from New York's Circle Repertory Company (he resigned last year), and Gordon Davidson did the same from the Mark Taper Forum in Los Angeles, Mr. Hall, at 55, began doing double duty, announcing with typical bravado that he planned to be ''the Lenny Bernstein of the theater world.''	So while Marshall W. Mason commenced a long leave of absence from New York's Circle Repertory Company (he resigned last year), and Gordon Davidson did the same from the Mark Taper Forum in Los Angeles, Mr. Hall, at 55, began doing double duty, announcing with typical bravado that |he| planned to be ''the *Lenny Bernstein* of /the theater world/.''	Lenny Bernstein	the theater world	he	Adrian Hall	Q4685077
43	1	nyt_corpus_1993.har/12/10/0654992.xml	1993.0	654992.0	Q82464	Also on hand is Aerosmith, the Dorian Gray of rock bands, to serve the same purpose Alice Cooper did in the first film.	Also on hand is |Aerosmith|, the *Dorian Gray* of /rock bands/, to serve the same purpose Alice Cooper did in the first film.	Dorian Gray	rock bands	Aerosmith	Aerosmith	Q126826
44	1	nyt_corpus_1998.har/03/24/1004596.xml	1998.0	1004596.0	Q436386	Africa is the Rodney Dangerfield of continents; the world seems to pay it scant heed and shows it less respect.	|Africa| is the *Rodney Dangerfield* of /continents/; the world seems to pay it scant heed and shows it less respect.	Rodney Dangerfield	continents	Africa	Africa	Q15
45	1	nyt_corpus_2003.har/03/18/1473361.xml	2003.0	1473361.0	Q184650	Agamemnon was the Donald Rumsfeld of his day, needlessly angering his key allies -- and outraging Achilles by swiping his concubine Briseis.	|Agamemnon| was the *Donald Rumsfeld* of /his day/, needlessly angering his key allies -- and outraging Achilles by swiping his concubine Briseis.	Donald Rumsfeld	his day	Agamemnon	Agamemnon	Q128176
46	1	nyt_corpus_2001.har/06/28/1305377.xml	2001.0	1305377.0	Q94487	Ms. Sobel is the Rose Marie of this operation, with her rasping voice and joking manner, supervising the kitchen and dining room and keeping track of who's playing cards with whom.	|Ms. Sobel| is the *Rose Marie* of /this operation/, with her rasping voice and joking manner, supervising the kitchen and dining room and keeping track of who's playing cards with whom.	Rose Marie	this operation	Ms. Sobel	Agnes Sobel	
