# fictional/mythological characters in our data set
# marked as correct vossantos
# list created on 24 Oct 2018
Q13685096	Cinderella
Q170779	Cassandra
Q216810	King Kong
Q122634	Robin Hood
Q9077	Moses
Q2009573	James Bond
Q864751	The Hatter
Q3268056	Mr. Chips
Q1126679	The Scarlet Pimpernel
Q107190	Peter Pan
Q79015	Clark Kent
Q637200	Henry Higgins
Q73823	Dirty Harry
Q5480	Bart Simpson
Q3244512	Harry Potter
Q1889422	Felix Unger
Q951317	John Rambo
Q92566	Flash Gordon
Q849930	Holly Golightly
Q732413	Queen Esther
Q1247268	Maxwell Smart
Q2261466	Juan Valdez
Q1426891	Michael Myers
Q518503	Eliza Doolittle
Q4885397	Ben Cartwright
Q82464	Dorian Gray
Q329466	Freddy Krueger
Q302057	John Doe
Q2289535	Rocky Balboa
Q170241	Tarzan
Q12334423	Sam Malone
